"time","Halesworth","Lees","Mold","Dalton.in.Furness","Oswestry","Northwich","Bedwellty","Consett","Hastings","Cardiff","Bradford","Hull","Nottingham","Bristol","Sheffield","Leeds","Manchester","Liverpool","Birmingham","London"
1944,46,69,112,198,216,335,709,725,654,4514,4678,5031,5733,7807,10111,8601,12332,15623,22644,44851
1945,39,62,114,165,168,325,623,690,726,4026,4095,5056,5188,6959,8567,7677,11252,14709,19859,45840
1946,34,83,129,183,199,399,709,754,1168,4977,5458,7144,6245,8095,10049,9922,14069,18672,22909,66023
1947,56,78,154,218,236,392,746,774,1197,5291,6271,7751,6914,9080,10481,10822,15718,19684,24142,70685
1948,33,76,150,181,201,355,707,737,981,4835,5422,6611,5865,7808,9111,9257,13752,17677,21542,60805
1949,19,91,126,192,185,319,643,711,913,4760,5041,6216,5727,7501,8045,8407,13090,16520,20221,56547
1950,28,57,143,156,174,258,625,687,897,4457,4960,5884,5380,7149,7429,8223,12519,16265,18987,53660
1951,21,53,129,160,182,239,571,651,797,4303,4745,5614,5198,6813,7195,7986,12434,15542,18524,52387
1952,35,57,124,163,178,245,567,649,779,4387,4596,5590,5179,6772,7025,7764,12407,15840,18431,51443
1953,35,61,121,135,175,187,548,654,747,4436,4577,5714,5262,6977,7080,7987,12298,16166,18687,50992
1954,28,62,109,151,163,198,551,585,736,4495,4634,5503,4971,6703,6877,7584,11840,15720,18386,50745
1955,50,53,100,146,162,195,488,638,727,4200,4563,5467,4936,6534,6776,7654,11777,15309,17860,49826
1956,37,47,96,152,182,224,540,590,705,4450,4798,5564,5172,6704,7049,8110,11964,16006,18584,52171
1957,46,46,103,184,169,236,520,645,698,4632,4982,5513,5480,6958,7550,8403,12464,16006,18976,52733
1958,27,42,131,158,175,211,495,682,747,4611,5006,5703,5530,7010,7612,8427,12315,15673,19372,54152
1959,37,43,114,162,182,226,473,642,766,4515,5075,5637,5683,6647,7720,8318,12303,15534,19399,55191
1960,37,45,127,161,190,267,495,645,777,4859,5494,5840,5743,6876,7829,8803,12666,16035,20854,57368
1961,31,44,134,160,184,294,503,698,790,5018,5546,5947,5901,7128,8264,9032,13159,16696,21757,60052
1962,36,47,146,162,224,292,481,634,868,4930,5783,5975,6219,7289,8577,9404,13506,16311,22434,62524
1963,29,63,156,157,203,300,515,656,899,5280,5787,5954,6378,7560,8345,9526,13254,15680,22580,63500
1964,37,72,171,195,219,311,485,622,892,5106,5837,6000,6236,7572,8447,9633,13315,15640,22586,63500

