"","pop","prop.fadeout"
"1",1000,0.922465753424658
"2",1108,0.91958904109589
"3",1227,0.908493150684932
"4",1359,0.89945205479452
"5",1506,0.892191780821918
"6",1668,0.892739726027397
"7",1847,0.88945205479452
"8",2046,0.881232876712329
"9",2267,0.86945205479452
"10",2511,0.854657534246575
"11",2782,0.847534246575342
"12",3081,0.843013698630137
"13",3413,0.828767123287671
"14",3781,0.815205479452055
"15",4188,0.793150684931507
"16",4639,0.795205479452055
"17",5139,0.764109589041096
"18",5693,0.765479452054795
"19",6306,0.733835616438356
"20",6985,0.715068493150685
"21",7737,0.696849315068493
"22",8571,0.696438356164384
"23",9494,0.681780821917808
"24",10517,0.662328767123288
"25",11650,0.633287671232877
"26",12905,0.63054794520548
"27",14295,0.622465753424657
"28",15834,0.558767123287671
"29",17540,0.572465753424658
"30",19429,0.555479452054795
"31",21522,0.504657534246575
"32",23841,0.517397260273973
"33",26409,0.504794520547945
"34",29254,0.448630136986301
"35",32405,0.441780821917808
"36",35895,0.398219178082192
"37",39762,0.394931506849315
"38",44045,0.356849315068493
"39",48790,0.392328767123288
"40",54045,0.286986301369863
"41",59867,0.318904109589041
"42",66316,0.286027397260274
"43",73459,0.282602739726027
"44",81372,0.23013698630137
"45",90138,0.220684931506849
"46",99847,0.223287671232877
"47",110603,0.216986301369863
"48",122517,0.143287671232877
"49",135714,0.186986301369863
"50",150333,0.160547945205479
"51",166527,0.125205479452055
"52",184465,0.125753424657534
"53",204336,0.122465753424658
"54",226346,0.104383561643836
"55",250728,0.0924657534246575
"56",277737,0.083013698630137
"57",307654,0.085068493150685
"58",340794,0.0593150684931507
"59",377504,0.062054794520548
"60",418169,0.057945205479452
"61",463214,0.046986301369863
"62",513111,0.0420547945205479
"63",568383,0.0361643835616438
"64",629608,0.0193150684931507
"65",697429,0.0301369863013699
"66",772556,0.0263013698630137
"67",855775,0.0189041095890411
"68",947958,0.0141095890410959
"69",1050072,0.00986301369863014
"70",1163185,0.0235616438356164
"71",1288482,0.00794520547945205
"72",1427276,0.0131506849315069
"73",1581021,0.00643835616438356
"74",1751328,0.00808219178082192
"75",1939980,0.0089041095890411
"76",2148953,0.00671232876712329
"77",2380436,0.00726027397260274
"78",2636855,0.00534246575342466
"79",2920895,0.0052054794520548
"80",3235531,0.00150684931506849
"81",3584060,0.00301369863013699
"82",3970132,0.000684931506849315
"83",4397792,0.00150684931506849
"84",4871519,0.00205479452054795
"85",5396275,0.00109589041095890
"86",5977557,0.00205479452054795
"87",6621455,0.00109589041095890
"88",7334713,0.000136986301369863
"89",8124803,0.00136986301369863
"90",9e+06,0.00123287671232877
